UnixTimeStamp,NNIntervals,SDNN_5min,HeartRate,RMSSD_5min
1551453105801,1083,50.405743890121414,57,35.023598933711874
1551453105802,1083,50.31675545640421,57,34.96166502329964
1551453106797,1139,50.39343084563076,57,34.54990756969119
1551453109790,1108,48.275402899671015,56,34.600927722942004
1551453109792,1108,48.21277131576259,56,34.53952407611105
1551453109793,1108,48.15033990706378,56,34.478446178495226
1551453110787,1112,47.81730908391518,56,34.2415035500929
1551453111785,1083,47.780387693760154,56,34.27615969846843
1551453113780,1092,47.72486886348656,56,34.33667270133466
1551453113781,1092,47.642837673522635,56,34.27595351553758
1551453114777,1062,47.56025170171019,57,34.29738990161795
1551453115774,1052,47.393917170464654,57,34.23938797709352
1551453116772,1037,47.03013831384443,57,34.204539611509695
1551453117769,1071,46.298089610454376,57,34.21135719510031
1551453118767,1045,45.91208025805041,57,34.24619862322449
1551453119764,1087,45.449435880091464,57,34.046424343838325
1551453120760,1089,45.40319270632996,57,33.89497393346881
1551453121758,1056,45.42273266669969,57,33.92873429116841
1551453123753,1103,45.514669822321125,57,33.946192299449514
1551453123755,1088,45.43440449406651,57,33.89789282255149
1551453124750,1130,45.40428651090033,57,33.95720649275378
1551453126745,1089,45.37542525026748,57,33.92477648215176
1551453127742,1128,45.3653395786664,56,33.94397828734621
1551453128740,1104,45.15718969961033,56,33.9464159364369
1551453129737,1090,45.04992645373055,56,33.92151255596523
1551453131735,1044,45.12235931892465,57,33.833775751834764
1551453131736,1044,45.108061505125505,57,33.77415671740496
1551453132731,999,45.34436094960808,57,33.847056584533604
1551453133727,979,45.693520103112746,58,33.8083867929817
1551453134727,966,46.29928851105169,59,33.71906511326605
1551453135722,954,46.85617817492551,59,33.72653070268919
1551453136720,998,47.044825345582815,60,33.80448132639338
1551453137717,1009,47.22149832049296,60,33.76388603226827
1551453138716,1007,47.312378469193014,60,33.759870752706334
1551453139712,1029,47.33320702014006,60,33.725777532555696
1551453140713,1051,47.20472188899485,60,33.74761849947289
1551453141708,1032,47.166953933542416,60,33.766328084064774
1551453142705,1061,47.056415421960516,59,33.77754886041235
1551453143703,1084,46.79738352616634,59,33.75510357773857
1551453144702,1071,46.69708662908442,59,33.72874249324215
1551453145699,1070,46.67421289566132,59,33.6686120681636
1551453146694,1081,46.53465036089265,58,33.651933548890575
1551453147692,1097,46.4851287425269,58,33.661055638031726
1551453148728,1060,46.40849913064758,58,33.68231354307532
1551453149712,1075,46.396565161025215,58,33.683824010940334
1551453150707,1048,46.352922046269406,58,33.662766050665205
1551453151705,1012,46.52397339653128,58,33.78829860775794
1551453152713,1005,46.67717357226521,59,33.7791589437536
1551453153680,1046,46.69800720400102,59,33.85137795531644
1551453154677,1057,46.71402490349482,59,33.85246628658258
1551453155672,1016,46.84982756403728,59,33.79940827884417
1551453156670,1030,46.88760919436695,59,33.79276368089745
1551453157670,961,47.38403403456472,60,33.952288505148545
1551453158665,905,48.38701865660153,61,34.05425535366039
1551453159662,916,49.356050567694126,61,34.101602575914434
1551453160682,944,49.97141177560684,62,34.13183933133916
1551453161686,992,50.21491145907353,62,34.235254221035774
1551453162689,995,50.43736183646213,62,34.23243562942619
1551453163654,956,50.92809562327094,62,34.201928744217945
1551453164681,1012,50.99786837530255,62,34.23453678337024
1551453165679,1024,51.08487444446256,62,34.15568073272424
1551453166676,996,51.217844896802326,62,33.991691451284055
1551453167673,1017,51.32158372894451,62,33.874691686303294
1551453168669,1016,51.34611786768651,62,33.815470039406726
1551453168671,989,51.49966594391167,62,33.79410912935403
1551453170662,1007,51.62827627698381,61,33.86232925623019
1551453170664,986,51.792654827462314,62,33.8260048819215
1551453171665,962,52.10167354210901,62,33.83707633930033
1551453172662,979,52.20594140000079,62,33.66617218850079
1551453173629,956,52.64081414253442,62,33.633710482732
1551453174657,962,52.95185871950633,62,33.635367979168535
1551453175653,994,53.05563592391242,62,33.601321112239084
1551453176639,1007,53.18175642104983,62,33.5602323979777
1551453177644,1021,53.246893761220825,62,33.551665915633535
1551453178636,999,53.409859871872925,62,33.572585049396395
1551453179626,993,53.59730649980528,62,33.42837785464667
1551453180610,1016,53.62579228000051,62,33.399180027073065
1551453181629,988,53.83488747877981,62,33.38665885570221
1551453182625,967,54.15418510710683,62,33.22764895463212
1551453183627,946,54.589223667243466,62,33.18651755962338
1551453184622,924,55.24665407943284,63,33.19491586108316
1551453185597,898,56.04705561660703,64,33.17263346662595
1551453186616,904,56.853374396910375,64,33.16818463862957
1551453187613,942,57.32179144036851,64,33.2403390308957
1551453187614,943,57.677032506445336,64,33.182832097648955
1551453188614,973,57.93299959806419,64,33.19450907192261
1551453189590,1009,58.0068995357256,64,33.22404807127233
1551453190587,970,58.275721108225575,64,33.23945835442421
1551453191616,991,58.40340038857208,63,33.21238148246861
1551453192609,1029,58.316916184586084,63,33.2874655587024
1551453193577,1034,58.22402097538386,63,33.28793332711287
1551453194577,1006,58.22048698184182,62,33.301184034978206
1551453195602,1042,58.19552845601959,62,33.341008343633554
